"receiver_player_id","receiver_player_name","posteam","position","targets","receptions","avg_receiving_epa","receiving_success_rate","receiving_yards","avg_air_yards","avg_yac","receiving_touchdowns","rushing_plays","avg_rushing_epa","rushing_success_rate","rushing_yards","avg_yards_per_rush","rushing_touchdowns"
"00-0036963","A.St. Brown","DET","WR",172,117,0.323341373495086,0.534883720930233,1401,8.08139534883721,4.87179487179487,11,0,0,0,0,0,0
"00-0033891","Z.Jones","ARI","WR",18,12,0.311251169846704,0.555555555555556,183,13.3888888888889,3,0,0,0,0,0,0,0
"00-0038393","D.Wicks","GB","WR",46,30,0.307782246459321,0.565217391304348,332,11.2391304347826,2.23333333333333,2,0,0,0,0,0,0
"00-0038606","P.Washington","JAX","WR",97,58,0.306375069799905,0.525773195876289,847,12.4947368421053,4.56896551724138,5,0,0,0,0,0,0
"00-0035662","M.Brown","KC","WR",74,49,0.301990585728726,0.554054054054054,587,11.2972972972973,3.87755102040816,5,0,0,0,0,0,0
"00-0040134","P.Bryant","DEN","WR",49,31,0.290433748610297,0.571428571428571,378,8.36734693877551,4.74193548387097,1,0,0,0,0,0,0
"00-0036165","I.Hodgins","NYG","WR",19,10,0.290233119942719,0.421052631578947,115,10.8947368421053,1.7,1,0,0,0,0,0,0
"00-0030279","K.Allen","LAC","WR",122,81,0.286233798676858,0.540983606557377,777,8.41803278688525,2.85185185185185,5,0,0,0,0,0,0
"00-0038544","Q.Johnston","LAC","WR",84,51,0.284649030215321,0.44047619047619,735,11.7738095238095,4.33333333333333,8,0,0,0,0,0,0
"00-0033921","C.Godwin","TB","WR",52,33,0.282694176544688,0.596153846153846,360,7.07843137254902,6.24242424242424,2,0,0,0,0,0,0
"00-0035676","A.Brown","PHI","WR",121,78,0.278375808130328,0.528925619834711,1003,11.7768595041322,3.43589743589744,7,0,0,0,0,0,0
"00-0035535","D.Slayton","NYG","WR",65,37,0.276944694999559,0.507692307692308,538,13.3809523809524,5.35135135135135,1,0,0,0,0,0,0
"00-0036358","C.Lamb","DAL","WR",117,75,0.247784781065067,0.547008547008547,1077,11.991452991453,4.30666666666667,3,0,0,0,0,0,0
