"rusher_player_id","rusher_player_name","posteam","position","rushing_plays","avg_rushing_epa","rushing_success_rate","rushing_yards","avg_yards_per_rush","rushing_touchdowns","targets","receptions","avg_receiving_epa","receiving_success_rate","receiving_yards","avg_air_yards","avg_yac","receiving_touchdowns"
"00-0037228","J.Warren","PIT","RB",223,-0.018713687206963,0.426008968609865,1001,4.48878923766816,6,45,40,0.236475824399754,0.511111111111111,333,-2.51111111111111,10.975,2
"00-0040236","K.Monangai","CHI","RB",192,-0.0213278074552351,0.447916666666667,846,4.42708333333333,5,30,18,-0.242232931539637,0.366666666666667,164,0.0666666666666667,9,0
"00-0036893","N.Harris","LAC","RB",15,-0.0225885860466709,0.466666666666667,61,4.06666666666667,0,0,0,0,0,0,0,0,0
"00-0035250","D.Singletary","NYG","RB",119,-0.0232432406374152,0.38655462184874,437,3.67226890756303,5,19,18,0.119103486524011,0.421052631578947,151,-0.631578947368421,9,0
"00-0037746","B.Robinson","SF","RB",95,-0.0320680299815994,0.421052631578947,404,4.25263157894737,2,12,8,-0.338559533663404,0.166666666666667,25,0,4.375,0
"00-0038134","K.Walker","SEA","RB",286,-0.0350372745523846,0.384615384615385,1340,4.68531468531468,9,36,31,0.189984928209487,0.416666666666667,282,-1.13888888888889,10.9354838709677,0
"00-0036755","J.Patterson","LAC","RB",41,-0.0355740941688493,0.390243902439024,159,3.8780487804878,1,0,0,0,0,0,0,0,0
"00-0037525","J.Mason","MIN","RB",159,-0.0363110343923092,0.465408805031447,758,4.76729559748428,6,16,14,-0.287983318523096,0.3125,51,-3.25,7.28571428571429,0
"00-0040242","J.Croskey-Merritt","WAS","RB",176,-0.0371067030779483,0.426136363636364,805,4.57386363636364,8,13,9,0.079554870366477,0.461538461538462,68,-1.46153846153846,8.55555555555556,0
"00-0038951","S.Tucker","TB","RB",86,-0.042515420188438,0.372093023255814,320,3.72093023255814,7,11,8,-0.287366584324363,0.181818181818182,34,-0.909090909090909,6.125,1
"00-0038542","B.Robinson","ATL","RB",288,-0.042550795869677,0.413194444444444,1478,5.13888888888889,7,103,79,0.25815374489283,0.543689320388349,820,0.980582524271845,10.8481012658228,5
"00-0036727","A.Prentice","DEN","RB",11,-0.0452702234298075,0.545454545454545,47,4.27272727272727,0,0,0,0,0,0,0,0,0
"00-0039032","T.Spears","TEN","RB",72,-0.0541826043810434,0.347222222222222,283,3.93055555555556,2,50,45,-0.0328892442743884,0.36,264,-2.3,8.02222222222222,0
"00-0039384","T.Tracy","NYG","RB",176,-0.0556039143176262,0.369318181818182,740,4.20454545454545,2,48,36,0.000845122021521733,0.395833333333333,288,0.395833333333333,8.72222222222222,2
"00-0036973","T.Etienne","JAX","RB",270,-0.0603936729644935,0.37037037037037,1174,4.34814814814815,7,52,36,0.175933133517482,0.423076923076923,292,-1.46153846153846,9.41666666666667,6
"00-0038551","K.Miller","NO","RB",47,-0.0622756587665905,0.404255319148936,193,4.1063829787234,1,0,0,0,0,0,0,0,0
"00-0038797","E.Wilson","GB","RB",126,-0.0624226894230049,0.436507936507937,499,3.96031746031746,3,18,15,0.0565756116716461,0.5,99,-1.88235294117647,8.86666666666667,0
"00-0034791","N.Chubb","HOU","RB",136,-0.0634350122224535,0.367647058823529,568,4.17647058823529,3,20,13,-0.121593265631236,0.4,67,0.75,4.84615384615385,0
"00-0034975","J.Hill","BAL","RB",18,-0.0696842106343764,0.277777777777778,93,5.16666666666667,2,27,21,0.0156110059340588,0.407407407407407,169,-0.222222222222222,8.76190476190476,1
"00-0036924","M.Carter","ARI","RB",92,-0.0744334179487297,0.423913043478261,333,3.6195652173913,1,45,33,0.0412208774180097,0.533333333333333,267,1.66666666666667,7.78787878787879,0
"00-0039798","I.Davis","NYJ","RB",43,-0.075222296294804,0.348837209302326,236,5.48837209302326,1,29,21,0.159136491381396,0.413793103448276,186,1.14285714285714,9,0
"00-0033280","C.McCaffrey","SF","RB",337,-0.0770433254662062,0.391691394658754,1285,3.81305637982196,10,129,102,0.302569392682061,0.550387596899225,904,2.5968992248062,6.86274509803922,7
"00-0035700","J.Jacobs","GB","RB",253,-0.0776011270931442,0.430830039525692,984,3.88932806324111,13,44,36,0.269273525908854,0.5,282,-0.886363636363636,8.44444444444444,1
"00-0040719","B.Tuten","JAX","RB",88,-0.0796155993863518,0.477272727272727,358,4.06818181818182,5,14,10,0.392529713247703,0.571428571428571,79,0.571428571428571,8,2
"00-0037263","T.Allgeier","ATL","RB",143,-0.0808023820475272,0.398601398601399,514,3.59440559440559,8,16,14,0.173927582884062,0.4375,96,-1.625,8.57142857142857,0
"00-0039874","J.Wright","MIA","RB",70,-0.0814145682975179,0.471428571428571,288,4.11428571428571,2,0,0,0,0,0,0,0,0
"00-0033699","A.Ekeler","WAS","RB",14,-0.0832390766175065,0.357142857142857,43,3.07142857142857,0,0,0,0,0,0,0,0,0
"00-0033553","J.Conner","ARI","RB",32,-0.0868606901512976,0.34375,95,2.96875,1,0,0,0,0,0,0,0,0
"00-0034844","S.Barkley","PHI","RB",307,-0.0893820430765163,0.384364820846906,1246,4.06514657980456,7,51,37,-0.0974765224601964,0.372549019607843,273,0.62,8,2
"00-0035261","T.Pollard","TEN","RB",242,-0.0896458122746416,0.392561983471074,1082,4.47107438016529,5,41,33,-0.288467601932115,0.414634146341463,206,0.292682926829268,6.15151515151515,1
